AWZJ,00075C4C,"0288 - Wizardry Summoner (J).gba","",00075C1C
ASVJ,0000C538,"0289 - Shanghai Advance (J).gba","",0000C508
ASOE,006D76AC,"0290 - Sonic Advance (U).gba","",006D767C
AIBJ,000AEC20,"0291 - Granbo (J).gba","",000AEB84
APYE,002C1104,"0293 - Puyo Pop (U).gba","",002C10D4
AOKJ,000731AC,"0294 - Okuman Chouja Game (J).gba","",0007317C
APNJ,001A984C,"0295 - Pinky Monkey Town (J).gba","",
AJQP,000A416C,"0298 - Jurassic Park III - Dino Attack (E).gba","",000A4130
AWRE,003B9F94,"0299 - Advance Wars (U).gba","",
ACGE,00543230,"0300 - Columns Crown (U).gba","",005430B0
ALNJ,006B0E80,"0401 - Lunar Legend (J).gba","",006B0E44
AB2E,000CE890,"0403 - Breath of Fire 2 (U).gba","",000CE80C
AKXE,00646A7C,"0404 - Spider-Man - The Movie (U).gba","",
ATWJ,003A7974,"0407 - Tetris Worlds (J).gba","",
ASEJ,00383784,"0408 - Spider-Man - Mysterio's Menace (J).gba","",
ARZJ,000D2D10,"0410 - RockMan Zero (J).gba","",000D2C68
A2GJ,00061F04,"0411 - Advance GT2 (J).gba","",
AEWJ,001D8114,"0412 - Winning Eleven World Soccer (J).gba","",001D80F0
AINJ,0063F6EC,"0414 - Kashiramoji D - Another Story (J).gba","",
AQAP,0035EA9C,"0415 - Penny Racers (E).gba","",0035EA54
ABGJ,00066D88,"0416 - Sweet Cookie Pie (J).gba","",00066D64
AD3E,000561B0,"0417 - Dinotopia - The Timestone Pirates (U).gba","",
KHPJ,000C4B10,"0418 - Koro Koro Puzzle Happy Panechu! (J).gba","",
AGOJ,000CACEC,"0419 - Kurohige no Golf Shiyouyo (J).gba","",000CACD4
AKDJ,0003018C,"0422 - Kaeru B Back (J).gba","",00030150
ADIE,00009834,"0423 - Desert Strike Advance (U).gba","",000097EC
ANHE,0001DACC,"0425 - NASCAR Heat 2002 (U).gba","",0001DA90
AFMJ,0004D998,"0426 - Formation Soccer 2002 (J).gba","",0004D944
ADPJ,00054554,"0427 - Doraemon Board Game (J).gba","",
AANJ,00189B80,"0428 - Animal Mania (J).gba","",00189B50
AN5J,0004C930,"0430 - Kawa no Nushi Tsuri 5 (J).gba","",0004C8F4
ACBJ,00061908,"0431 - Gekitou! Card Battler Go! (J).gba","",000618D8
ATOE,001626CC,"0432 - Tactics Ogre - The Knight of Lodis (U).gba","",001626BA
ALGE,00542CD8,"0434 - Dragon Ball Z - The Legacy Of Goku (U).gba","",00542CB4
AHIJ,00201590,"0435 - Hitsuji no Kimochi (J).gba","",00201578
AZGJ,0023AEBC,"0436 - Jinsei Game Advance (J).gba","",0023AE8C
